time,dam_price,price_rt,reserve_price,reserve_demand
698,2011.38,2189.84,288.89,55.48
699,2185.34,2341.61,257.94,65.74
700,2180.47,2339.46,262.94,63.29
701,2196.26,2379.51,292.87,61.25
702,2287.6,2426.52,293.29,66.92
703,2192.04,2331.16,293.81,58.56
704,2129.02,2270.31,290.23,66.05
705,2075.88,2204.7,275.6,62.37
706,2123.64,2079.02,291.24,55.74
707,1958.51,2237.83,233.08,49.52
708,2033.98,1959.29,231.95,45.44
709,1765.64,1923.0,230.07,48.7
710,1883.15,1836.38,195.07,48.59
711,1747.48,1799.83,206.85,36.18
712,1684.94,1775.33,226.55,39.29
713,1632.87,1743.43,197.0,25.07
714,1669.96,1645.02,198.46,32.08
715,1658.24,1681.77,177.78,35.35
716,1744.94,1743.34,192.38,32.45
717,1742.64,1766.46,203.86,34.68
718,1805.84,1949.43,214.96,39.11
719,1851.56,1965.73,250.85,47.49
720,1943.39,2069.58,252.74,48.94
